Company,Domain,Website,City,State,Trade,Revenue,Employees,Industry,Lifecycle Status,Qualification Decision,Qualification Reason,Fit Score,First Seen,Last Reviewed,Next Review,Approved At,HubSpot Company ID,Sequence Status,Meeting Status,Customer Status,Source Profile,Notes
Able Plumbing,ableplumbingllc.com,www.ableplumbingllc.com,Lake Charles,Louisiana,Plumbing,114921000,500,,Rejected,REJECT,State outside target geography: Louisiana,0.0,2026-07-13T21:40:54.685357+00:00,2026-07-13T21:40:54.685357+00:00,2027-01-09T21:40:54.685377+00:00,,,,,,Default,
Adams Electric,adams-electric.com,www.adams-electric.com,Greensboro,North Carolina,Electrical,128971000,600,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39354143363; source all-companies.csv).,0.0,2026-07-13T21:53:40.263269+00:00,2026-07-13T21:53:40.263269+00:00,,,,,,,Default,
"Adeedo Drain, Plumbing, Heating, & Air",adeedo.com,www.adeedo.com,Los Angeles,California,Plumbing,39935000,730,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 54268278054; source all-companies.csv).,0.0,2026-07-13T21:50:35.830205+00:00,2026-07-13T21:50:35.830205+00:00,,,,,,,Default,
Advance Mechanical Systems,advmech.com,www.advmech.com,Arlington Heights,Illinois,Plumbing,75209000,300,,Rejected,REJECT,State outside target geography: Illinois,0.0,2026-07-13T21:42:32.022130+00:00,2026-07-13T21:42:32.022130+00:00,2027-01-09T21:42:32.022144+00:00,,,,,,Default,
Air Assurance,airassurance.com,www.airassurance.com,Broken Arrow,Oklahoma,Plumbing,40548000,147,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 31901864327; source all-companies.csv).,0.0,2026-07-13T21:50:35.793313+00:00,2026-07-13T21:50:35.793313+00:00,,,,,,,Default,
Air Group,airgroupllc.com,www.airgroupllc.com,Whippany,New Jersey,Plumbing,74328000,100,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 54189775174; source all-companies.csv).,0.0,2026-07-13T21:42:32.034446+00:00,2026-07-13T21:42:32.034446+00:00,,,,,,,Default,
Air Systems,airsystemsinc.com,www.airsystemsinc.com,San Jose,California,Electrical,222630000,500,,Rejected,REJECT,State outside target geography: California,0.0,2026-07-13T21:52:06.505063+00:00,2026-07-13T21:52:06.505063+00:00,2027-01-09T21:52:06.505074+00:00,,,,,,Default,
AirMakers,airmakers.com,www.airmakers.com,Raleigh,North Carolina,Plumbing,47103000,74,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 54925368890; source all-companies.csv).,0.0,2026-07-13T21:49:12.900172+00:00,2026-07-13T21:49:12.900172+00:00,,,,,,,Default,
Airco Service,aircoservice.com,www.aircoservice.com,Tulsa,Oklahoma,Plumbing,63566000,272,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 55326189409; source all-companies.csv).,0.0,2026-07-13T21:43:40.278401+00:00,2026-07-13T21:43:40.278401+00:00,,,,,,,Default,
Airo Mechanical,airomechanical.com,www.airomechanical.com,Mooresville,North Carolina,Plumbing,114575000,180,,Rejected,REJECT,State outside target geography: North Carolina,0.0,2026-07-13T21:40:54.708621+00:00,2026-07-13T21:40:54.708621+00:00,2027-01-09T21:40:54.708635+00:00,,,,,,Default,
All Star Electric,allstar-electric.com,www.allstar-electric.com,La Place,Louisiana,Electrical,78857000,256,,Rejected,REJECT,State outside target geography: Louisiana,0.0,2026-07-13T21:55:11.608554+00:00,2026-07-13T21:55:11.608554+00:00,2027-01-09T21:55:11.608568+00:00,,,,,,Default,
Allbritten,allbritten.com,www.allbritten.com,Fresno,California,Plumbing,72728000,109,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 56286908319; source all-companies.csv).,0.0,2026-07-13T21:42:33.928009+00:00,2026-07-13T21:42:33.928009+00:00,,,,,,,Default,
Alpha Energy Solution,alphamechanicalservice.com,www.alphamechanicalservice.com,Louisville,Kentucky,Plumbing,127305000,200,,Rejected,REJECT,State outside target geography: Kentucky,0.0,2026-07-13T21:40:39.518945+00:00,2026-07-13T21:40:39.518945+00:00,2027-01-09T21:40:39.518959+00:00,,,,,,Default,
Alta Pest Control,altapestcontrol.com,www.altapestcontrol.com,Austin,Texas,Pest Control,57178000,279,,Qualified,ACCEPT,official-site residential home-service evidence | revenue $25M+ | target employee scale,83.0,2026-07-13T22:04:23.796990+00:00,2026-07-13T22:04:23.796990+00:00,,,,,,,Default,
American Plumbing Professionals,americanplumbing.com,www.americanplumbing.com,Tunnel Hill,Georgia,Plumbing,87841000,138,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 56131077554; source all-companies.csv).,0.0,2026-07-13T21:42:17.541283+00:00,2026-07-13T21:42:17.541283+00:00,,,,,,,Default,
Amteck,amteck.com,www.amteck.com,Lexington,Kentucky,Electrical,425834000,783,,Rejected,REJECT,State outside target geography: Kentucky,0.0,2026-07-13T21:51:20.897517+00:00,2026-07-13T21:51:20.897517+00:00,2027-01-09T21:51:20.897544+00:00,,,,,,Default,
Anchor Mechanical,anchormech.com,www.anchormech.com,Forest Hill,Maryland,Plumbing,136853000,215,,Rejected,REJECT,State outside target geography: Maryland,0.0,2026-07-13T21:40:39.446946+00:00,2026-07-13T21:40:39.446946+00:00,2027-01-09T21:40:39.446959+00:00,,,,,,Default,
Andersen Commercial Plumbing,andersenplumbing.com,www.andersenplumbing.com,La Verne,California,Plumbing,95479000,150,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39353060104; source all-companies.csv).,0.0,2026-07-13T21:41:56.561573+00:00,2026-07-13T21:41:56.561573+00:00,,,,,,,Default,
Anderson Pest Solutions,andersonpestsolutions.com,www.andersonpestsolutions.com,Libertyville,Illinois,Pest Control,63033000,341,,Rejected,REJECT,State outside target geography: Illinois,0.0,2026-07-13T22:03:06.499792+00:00,2026-07-13T22:03:06.499792+00:00,2027-01-09T22:03:06.499808+00:00,,,,,,Default,
Anderson Power Services,andersonpowerservices.com,www.andersonpowerservices.com,Douglasville,Georgia,Electrical,71291000,112,,Rejected,REJECT,State outside target geography: Georgia,0.0,2026-07-13T21:56:28.796787+00:00,2026-07-13T21:56:28.796787+00:00,2027-01-09T21:56:28.796799+00:00,,,,,,Default,
Andy J. Egan,andyegan.com,www.andyegan.com,Grand Rapids,Michigan,Plumbing,65487000,268,,Rejected,REJECT,State outside target geography: Michigan,0.0,2026-07-13T21:43:40.166795+00:00,2026-07-13T21:43:40.166795+00:00,2027-01-09T21:43:40.166811+00:00,,,,,,Default,
Apex Pest Control,apexpest.com,www.apexpest.com,Rockledge,Florida,Pest Control,104294000,188,,Rejected,REJECT,State outside target geography: Florida,0.0,2026-07-13T22:02:54.247474+00:00,2026-07-13T22:02:54.247474+00:00,2027-01-09T22:02:54.247486+00:00,,,,,,Default,
Appleton Campbell,appletoncampbell.com,www.appletoncampbell.com,Warrenton,Virginia,Plumbing,95479000,150,,Rejected,REJECT,State outside target geography: Virginia,0.0,2026-07-13T21:41:56.573479+00:00,2026-07-13T21:41:56.573479+00:00,2027-01-09T21:41:56.573491+00:00,,,,,,Default,
Area Energy & Electric,areaelectric.com,www.areaelectric.com,Marysville,Ohio,Electrical,83353000,324,,Rejected,REJECT,State outside target geography: Ohio,0.0,2026-07-13T21:54:51.047480+00:00,2026-07-13T21:54:51.047480+00:00,2027-01-09T21:54:51.047491+00:00,,,,,,Default,
Atlantic Constructors,acibuilds.com,www.acibuilds.com,Richmond,Virginia,Electrical,445567000,700,,Rejected,REJECT,State outside target geography: Virginia,0.0,2026-07-13T21:51:11.292930+00:00,2026-07-13T21:51:11.292930+00:00,2027-01-09T21:51:11.292940+00:00,,,,,,Default,
Auburn Mechanical,auburnmechanical.com,www.auburnmechanical.com,Auburn,Washington,Plumbing,58282000,200,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39350113194; source all-companies.csv).,0.0,2026-07-13T21:46:18.180135+00:00,2026-07-13T21:46:18.180135+00:00,,,,,,,Default,
Axsom Air,axsomair.com,www.axsomair.com,Natchitoches,Louisiana,Plumbing,52138000,114,,Rejected,REJECT,State outside target geography: Louisiana,0.0,2026-07-13T21:46:39.364231+00:00,2026-07-13T21:46:39.364231+00:00,2027-01-09T21:46:39.364244+00:00,,,,,,Default,
B&B Electrical & Utility Contractors,bbecon.com,www.bbecon.com,Canton,Mississippi,Electrical,117651000,351,,Rejected,REJECT,State outside target geography: Mississippi,0.0,2026-07-13T21:54:13.441848+00:00,2026-07-13T21:54:13.441848+00:00,2027-01-09T21:54:13.441866+00:00,,,,,,Default,
B&D Industries,banddindustries.com,www.banddindustries.com,Albuquerque,New Mexico,Electrical,73665000,354,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 53541313684; source all-companies.csv).,0.0,2026-07-13T21:42:33.912351+00:00,2026-07-13T21:55:39.842595+00:00,,,,,,,Default,
B&I,bandiflorida.com,www.bandiflorida.com,Fort Myers,Florida,Electrical,130263000,695,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 53539429653; source all-companies.csv).,0.0,2026-07-13T21:40:39.471247+00:00,2026-07-13T21:53:40.244494+00:00,,,,,,,Default,
BCH Mechanical,bchmechanical.com,www.bchmechanical.com,Largo,Florida,Plumbing,58144000,351,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39366158415; source all-companies.csv).,0.0,2026-07-13T21:46:18.196953+00:00,2026-07-13T21:46:18.196953+00:00,,,,,,,Default,
BCI Integrated Solutions,bcifl.net,www.bcifl.net,Tampa,Florida,Electrical,350089000,550,,Rejected,REJECT,State outside target geography: Florida,0.0,2026-07-13T21:51:20.989709+00:00,2026-07-13T21:51:20.989709+00:00,2027-01-09T21:51:20.989722+00:00,,,,,,Default,
BESCO,besco.com,www.besco.com,Knoxville,Tennessee,Electrical,144947000,735,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 54923352408; source all-companies.csv).,0.0,2026-07-13T21:53:40.181857+00:00,2026-07-13T21:53:40.181857+00:00,,,,,,,Default,
BJ Baldwin,bjbaldwin.com,www.bjbaldwin.com,Narvon,Pennsylvania,Electrical,94753000,370,,Rejected,REJECT,State outside target geography: Pennsylvania,0.0,2026-07-13T21:54:40.182977+00:00,2026-07-13T21:54:40.182977+00:00,2027-01-09T21:54:40.182990+00:00,,,,,,Default,
Bailiwick,bailiwick.com,www.bailiwick.com,Chaska,Minnesota,Electrical,131120000,333,,Rejected,REJECT,State outside target geography: Minnesota,0.0,2026-07-13T21:53:40.225767+00:00,2026-07-13T21:53:40.225767+00:00,2027-01-09T21:53:40.225779+00:00,,,,,,Default,
Baker Electric,bakerelectric.com,www.bakerelectric.com,Des Moines,Iowa,Electrical,86318000,337,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39353211943; source all-companies.csv).,0.0,2026-07-13T21:54:40.287155+00:00,2026-07-13T21:54:40.287155+00:00,,,,,,,Default,
Bassett Mechanical,bassettmechanical.com,www.bassettmechanical.com,Kaukauna,Wisconsin,Plumbing,80849000,302,,Rejected,REJECT,State outside target geography: Wisconsin,0.0,2026-07-13T21:42:17.615173+00:00,2026-07-13T21:42:17.615173+00:00,2027-01-09T21:42:17.615187+00:00,,,,,,Default,
"Bayonet Plumbing , Heating & Air Conditioning",bayonet-inc.com,www.bayonet-inc.com,Hudson,Florida,Plumbing,108831000,513,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 55219424023; source all-companies.csv).,0.0,2026-07-13T21:40:54.757676+00:00,2026-07-13T21:40:54.757676+00:00,,,,,,,Default,
Bell Brothers,bellbroshvac.com,www.bellbroshvac.com,Mather,California,Plumbing,41437000,138,,Rejected,REJECT,State outside target geography: California,0.0,2026-07-13T21:49:59.705704+00:00,2026-07-13T21:49:59.705704+00:00,2027-01-09T21:49:59.705719+00:00,,,,,,Default,
Benfield Electric,benfieldinc.com,www.benfieldinc.com,Aberdeen,Maryland,Electrical,127304000,132,,Rejected,REJECT,State outside target geography: Maryland,0.0,2026-07-13T21:53:40.348565+00:00,2026-07-13T21:53:40.348565+00:00,2027-01-09T21:53:40.348578+00:00,,,,,,Default,
Benjamin Franklin Plumbing,benjaminfranklinplumbing.com,www.benjaminfranklinplumbing.com,Hamburg,New York,Plumbing,111897000,448,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 54175694143; source all-companies.csv).,0.0,2026-07-13T21:40:54.726180+00:00,2026-07-13T21:40:54.726180+00:00,,,,,,,Default,
Berg Enterprises,bergenterprises.com,www.bergenterprises.com,Phoenix,Arizona,Plumbing,61107000,96,,Qualified,ACCEPT,official-site residential home-service evidence | revenue $25M+ | target employee scale | current growth signals,89.0,2026-07-13T21:44:03.465521+00:00,2026-07-13T21:44:03.465521+00:00,,,,,,,Default,
Berkeys,berkeys.com,www.berkeys.com,Southlake,Texas,Electrical,133200000,112,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 53557220407; source all-companies.csv).,0.0,2026-07-13T21:40:39.454027+00:00,2026-07-13T21:53:40.213127+00:00,,,,,,,Default,
Blind & Sons,blindandsons.com,www.blindandsons.com,Barberton,Ohio,Plumbing,53468000,84,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 54700953894; source all-companies.csv).,0.0,2026-07-13T21:46:39.335693+00:00,2026-07-13T21:46:39.335693+00:00,,,,,,,Default,
Blue Diamond Group,bluediamondfm.com,www.bluediamondfm.com,Tucson,Arizona,Pest Control,58817000,30,,Qualified,ACCEPT,official-site residential home-service evidence | revenue $25M+ | target employee scale | current growth signals,86.0,2026-07-13T22:03:23.363699+00:00,2026-07-13T22:03:23.363699+00:00,,,,,,,Default,
Blue Frog Plumbing,bluefrogfranchise.com,www.bluefrogfranchise.com,Arlington,Texas,Plumbing,59562000,214,,Qualified,ACCEPT,official-site residential home-service evidence | revenue $25M+ | target employee scale | current growth signals,86.0,2026-07-13T21:45:42.987365+00:00,2026-07-13T21:45:42.987365+00:00,,,,,,,Default,
Bluestone Communications,bluestonecomm.com,www.bluestonecomm.com,Wilmington,Delaware,Electrical,129851000,204,,Rejected,REJECT,State outside target geography: Delaware,0.0,2026-07-13T21:53:40.256630+00:00,2026-07-13T21:53:40.256630+00:00,2027-01-09T21:53:40.256644+00:00,,,,,,Default,
Bonney Plumbing,bonney.com,www.bonney.com,Rancho Cordova,California,Plumbing,102481000,98,,Rejected,REJECT,State outside target geography: California,0.0,2026-07-13T21:41:56.534789+00:00,2026-07-13T21:41:56.534789+00:00,2027-01-09T21:41:56.534804+00:00,,,,,,Default,
Boston Standard,bostonstandardplumbing.com,www.bostonstandardplumbing.com,Weymouth,Massachusetts,Plumbing,39465000,62,,Rejected,REJECT,State outside target geography: Massachusetts,0.0,2026-07-13T21:50:35.893703+00:00,2026-07-13T21:50:35.893703+00:00,2027-01-09T21:50:35.893722+00:00,,,,,,Default,
Brewer Companies,brewercompanies.com,www.brewercompanies.com,Phoenix,Arizona,Plumbing,50685000,286,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 55463045657; source all-companies.csv).,0.0,2026-07-13T21:47:23.157650+00:00,2026-07-13T21:47:23.157650+00:00,,,,,,,Default,
Bright Future Electric,brightfutureelectric.com,www.brightfutureelectric.com,Birmingham,Alabama,Electrical,176049000,292,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39356312956; source all-companies.csv).,0.0,2026-07-13T21:53:14.467121+00:00,2026-07-13T21:53:14.467121+00:00,,,,,,,Default,
Buist Electric,buistelectric.com,www.buistelectric.com,Byron Center,Michigan,Electrical,75000000,320,,Rejected,REJECT,State outside target geography: Michigan,0.0,2026-07-13T21:55:39.824172+00:00,2026-07-13T21:55:39.824172+00:00,2027-01-09T21:55:39.824182+00:00,,,,,,Default,
Burton,justcallburton.com,www.justcallburton.com,Omaha,Nebraska,Plumbing,76383000,120,,Rejected,REJECT,State outside target geography: Nebraska,0.0,2026-07-13T21:42:31.998836+00:00,2026-07-13T21:42:31.998836+00:00,2027-01-09T21:42:31.998846+00:00,,,,,,Default,
CDL Electrical,cdlelectric.com,www.cdlelectric.com,Pittsburg,Kansas,Electrical,286436000,429,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 55533455124; source all-companies.csv).,0.0,2026-07-13T21:51:21.077477+00:00,2026-07-13T21:51:21.077477+00:00,,,,,,,Default,
CH Reynolds,chreynolds.com,www.chreynolds.com,San Jose,California,Electrical,130728000,383,,Rejected,REJECT,State outside target geography: California,0.0,2026-07-13T21:53:40.238338+00:00,2026-07-13T21:53:40.238338+00:00,2027-01-09T21:53:40.238352+00:00,,,,,,Default,
Campbell Mechanical Services,campbellinc.com,www.campbellinc.com,Northwood,Ohio,Plumbing,65077000,92,,Rejected,REJECT,State outside target geography: Ohio,0.0,2026-07-13T21:43:40.196867+00:00,2026-07-13T21:43:40.196867+00:00,2027-01-09T21:43:40.196878+00:00,,,,,,Default,
Cannon & Wendt,cannon-wendt.com,www.cannon-wendt.com,Phoenix,Arizona,Electrical,75530000,290,,Rejected,REJECT,revenue $25M+ | target employee scale | current growth signals | excluded business-model evidence,0.0,2026-07-13T21:55:39.811872+00:00,2026-07-13T21:55:39.811872+00:00,2027-01-09T21:55:39.811883+00:00,,,,,,Default,
Canyon State Electric,canyonstateelectric.com,www.canyonstateelectric.com,Phoenix,Arizona,Electrical,190958000,300,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39363684679; source all-companies.csv).,0.0,2026-07-13T21:52:26.935323+00:00,2026-07-13T21:52:26.935323+00:00,,,,,,,Default,
Carr & Duff,carrduff.com,www.carrduff.com,Huntingdon Valley,Pennsylvania,Electrical,114460000,246,,Rejected,REJECT,State outside target geography: Pennsylvania,0.0,2026-07-13T21:54:15.879303+00:00,2026-07-13T21:54:15.879303+00:00,2027-01-09T21:54:15.879314+00:00,,,,,,Default,
Casa Mechanical,casamechanical.com,www.casamechanical.com,Round Rock,Texas,Plumbing,45113000,245,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 56542547570; source all-companies.csv).,0.0,2026-07-13T21:49:12.946269+00:00,2026-07-13T21:49:12.946269+00:00,,,,,,,Default,
Casteel,casteelair.com,www.casteelair.com,Marietta,Georgia,Plumbing,41059000,197,,Rejected,REJECT,State outside target geography: Georgia,0.0,2026-07-13T21:49:59.716979+00:00,2026-07-13T21:49:59.716979+00:00,2027-01-09T21:49:59.716991+00:00,,,,,,Default,
"Central Plumbing , Heating, & Excavation",centralph.com,www.centralph.com,Great Falls,Montana,Plumbing,61848000,78,,Rejected,REJECT,official-site residential home-service evidence | revenue $25M+ | target employee scale | current growth signals | excluded business-model evidence,34.0,2026-07-13T21:43:50.794792+00:00,2026-07-13T21:43:50.794792+00:00,2027-01-09T21:43:50.794807+00:00,,,,,,Default,
Chaparral Plumbing,chaparralplumbing.com,www.chaparralplumbing.com,Spring,Texas,Plumbing,62986000,123,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 56567442311; source all-companies.csv).,0.0,2026-07-13T21:43:40.284921+00:00,2026-07-13T21:43:40.284921+00:00,,,,,,,Default,
Charlotte Mechanical,charlottemechanical.com,www.charlottemechanical.com,Charlotte,North Carolina,Plumbing,80657000,342,,Rejected,REJECT,State outside target geography: North Carolina,0.0,2026-07-13T21:42:17.630075+00:00,2026-07-13T21:42:17.630075+00:00,2027-01-09T21:42:17.630092+00:00,,,,,,Default,
Chas Roberts,chasroberts.com,www.chasroberts.com,Phoenix,Arizona,Plumbing,56087000,315,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 31915264526; source all-companies.csv).,0.0,2026-07-13T21:46:27.267184+00:00,2026-07-13T21:46:27.267184+00:00,,,,,,,Default,
Cherry City Electric,cherrycityelectric.com,www.cherrycityelectric.com,Salem,Oregon,Electrical,127305000,239,,Rejected,REJECT,State outside target geography: Oregon,0.0,2026-07-13T21:53:40.313768+00:00,2026-07-13T21:53:40.313768+00:00,2027-01-09T21:53:40.313780+00:00,,,,,,Default,
Christianson,christiansonco.com,www.christiansonco.com,Round Rock,Texas,Plumbing,76906000,347,,Rejected,REJECT,official-site residential home-service evidence | revenue $25M+ | target employee scale | current growth signals | visible marketing maturity | excluded business-model evidence,33.0,2026-07-13T21:42:31.987630+00:00,2026-07-13T21:42:31.987630+00:00,2027-01-09T21:42:31.987645+00:00,,,,,,Default,
Cisneros Brothers Plumbing,855gotclog.com,www.855gotclog.com,Hesperia,California,Plumbing,38192000,60,,Rejected,REJECT,State outside target geography: California,0.0,2026-07-13T21:50:35.979257+00:00,2026-07-13T21:50:35.979257+00:00,2027-01-09T21:50:35.979274+00:00,,,,,,Default,
Classic Aire Care,classicairecare.com,www.classicairecare.com,St. Louis,Missouri,Plumbing,63652000,106,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 54246795409; source all-companies.csv).,0.0,2026-07-13T21:43:40.271868+00:00,2026-07-13T21:43:40.271868+00:00,,,,,,,Default,
Coastal Mechanical Services,coastalmechanical.com,www.coastalmechanical.com,Melbourne,Florida,Plumbing,94467000,327,,Rejected,REJECT,State outside target geography: Florida,0.0,2026-07-13T21:42:06.936332+00:00,2026-07-13T21:42:06.936332+00:00,2027-01-09T21:42:06.936347+00:00,,,,,,Default,
Collins Electric,collinselectricco.com,www.collinselectricco.com,Chicopee,Massachusetts,Electrical,127304000,88,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39371629356; source all-companies.csv).,0.0,2026-07-13T21:53:40.326369+00:00,2026-07-13T21:53:40.326369+00:00,,,,,,,Default,
Collins Electrical Company,collinselectric.com,www.collinselectric.com,Stockton,California,Electrical,73669000,331,,Rejected,REJECT,State outside target geography: California,0.0,2026-07-13T21:55:39.836369+00:00,2026-07-13T21:55:39.836369+00:00,2027-01-09T21:55:39.836383+00:00,,,,,,Default,
Collins Electrical Construction,collinsmn.com,www.collinsmn.com,Saint Paul,Minnesota,Electrical,76818000,252,,Rejected,REJECT,State outside target geography: Minnesota,0.0,2026-07-13T21:55:23.982430+00:00,2026-07-13T21:55:23.982430+00:00,2027-01-09T21:55:23.982441+00:00,,,,,,Default,
